Fecha;Codigo;Producto;Tipo;Cantidad;Unidad;Usuario;Ajuste
2026-02-03;004-000-00401;Azucar;Salida;9000;gr;martin_admin;-9000
2026-02-03;004-000-00399;Alginato Japones;Salida;420;gr;martin_admin;-420
2026-02-03;004-000-00407;Glucosa;Salida;15000;gr;martin_admin;-15000
2026-02-03;004-000-00408;Cloruro;Salida;9;gr;martin_admin;-9
2026-02-03;004-000-00362;Saborizante Manzana Verde;Salida;30;gr;jennys_contabilidad;-30
2026-02-03;004-000-00400;Benzoato;Salida;60;gr;jennys_contabilidad;-60
2026-02-03;004-000-00403;Acido Citrico;Salida;18;gr;jennys_contabilidad;-18
2026-02-03;004-000-00405;Sorbato De Potasio;Salida;84;gr;jennys_contabilidad;-84
2026-02-03;004-000-00398;Gluconolactato Top Trading;Salida;1200;gr;jennys_contabilidad;-1200
2026-02-03;004-000-00404;Goma Xhantan;Salida;75;gr;jennys_contabilidad;-75
2026-02-03;004-000-00406;Goma Guar;Salida;135;gr;jennys_contabilidad;-135
2026-02-03;004-000-00125;Maltodextrina;Salida;2051;gr;jennys_contabilidad;-2051
2026-02-03;004-000-00401;Azucar;Salida;25000;gr;jennys_contabilidad;-25000
2026-02-03;004-000-00302;Extracto Te Negro Adiqmat;Salida;200;gr;jennys_contabilidad;-200
2026-02-03;004-000-00275;Chai Aditmaq;Salida;251;gr;jennys_contabilidad;-251
2026-02-03;004-000-00303;Fosfato Tricalcio;Salida;6;gr;jennys_contabilidad;-6
2026-02-03;004-000-00235;Rosas Rojas Aromas;Salida;427;gr;jennys_contabilidad;-427
2026-02-03;003-001-00097;Blends Divine Tea;Salida;251;gr;jennys_contabilidad;-251
2026-02-03;003-001-00190;Blends Puerh Caramelo;Salida;250;gr;jennys_contabilidad;-250
2026-02-03;003-001-00124;Blends Vainilla Chai;Salida;229;gr;jennys_contabilidad;-229
2026-02-03;003-001-00324;Blends Berry Berry;Salida;804;gr;jennys_contabilidad;-804
2026-02-03;005-000-00223;Pads Hierbabuena;Salida;100;uni;jennys_contabilidad;-100
2026-02-03;003-001-00178;Blends Te Verde;Salida;1190;gr;jennys_contabilidad;-1190
2026-02-03;001-001-00066;Naranja En Rodaja Arbori;Salida;34;gr;jennys_contabilidad;-34
2026-02-03;001-001-00052;Pina En Rodaja Arbori;Salida;70;gr;jennys_contabilidad;-70
