Tippytea Cia Ltda,,,,,,,,,,,,,
,,,,,,,,,,,,,
Resumen de Existencias,Planta /  /  / /,,,,,,,,,,,,
Desde:,1/2/2026,Hasta:,2/2/2026,,,,,,,,,,
Fecha de Emisión: ,2026/02/02 10:57:25,,,,,,,,,,,,
Codigo,Nombre,Unidad, Inicial , Ingreso , Salida , Saldo Mes , Conteo ( Amy) , Conteo ( Vale ) , Condeo ( Fabian  ) , Condeo ( Andres ) , Conteo 02-02-2026 , Diferencia  ,Observacion
001-001-00002,Red Seduction Encapsulado,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-001-00003,Masala Chai  Encapsulado,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-001-00004,Inactivo,KG,"  -696.158,40 ",  -   ,  -   ,"  -696.158,40 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -696.158,40 ",SOBRANTE
001-001-00009,Mora Roberto Baldeon,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-001-00010,Azucar Impalpable Don Gato,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-001-00011,Anis Ile,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-001-00012,Stevia En Hoja Ile,gr,"  28.355,00 ","  20.000,00 ","  14.119,00 ","  34.236,00 ","  1.697,00 ","  30.000,00 ",  -   ,  -   ,"  31.697,00 ","  2.539,00 ",FALTANTE
001-001-00013,Sucralosa,gr,"  451,00 ","  6.000,00 ","  4.464,00 ","  1.987,00 ","  999,00 ",  -   ,  -   ,"  937,00 ","  1.936,00 ","  51,00 ",FALTANTE
001-001-00014,Saborizante Crema De Menta,gr,"  180,00 ",  -   ,  -   ,"  180,00 ",  -   ,  -   ,"  230,00 ",  -   ,"  230,00 ","  -50,00 ",SOBRANTE
001-001-00015,Crema Batida En Polvo Importada,gr,"  4.842,00 ",  -   ,"  542,55 ","  4.299,45 ","  1.048,00 ",  -   ,  -   ,  -   ,"  1.048,00 ","  3.251,45 ",FALTANTE
001-001-00016,Saborizante Avellana,gr,"  407,00 ",  -   ,  -   ,"  407,00 ","  407,00 ",  -   ,  -   ,  -   ,"  407,00 ",  -   ,SIN DIFERENCIA
001-001-00017,Polvo De Cacao Alcalino  Natigold,gr,"  166,00 ",  -   ,"  73,00 ","  93,00 ","  93,00 ",  -   ,  -   ,  -   ,"  93,00 ",  -   ,SIN DIFERENCIA
001-001-00018,Polvo De Cacao Natural Natigold,gr,"  987,00 ",  -   ,  -   ,"  987,00 ","  979,00 ",  -   ,  -   ,  -   ,"  979,00 ","  8,00 ",FALTANTE
001-001-00021,Jamaica Tamarak,gr,"  12.000,00 ",  -   ,  -   ,"  12.000,00 ",  -   ,"  12.015,00 ",  -   ,  -   ,"  12.015,00 ","  -15,00 ",SOBRANTE
001-001-00022,Saborizante Cookies And Cream,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-001-00024,Calendula Aromas,gr,"  800,00 ","  500,00 ",  -   ,"  1.300,00 ","  1.376,00 ",  -   ,  -   ,  -   ,"  1.376,00 ","  -76,00 ",SOBRANTE
001-001-00025,Caballo Chupa Aromas,gr,"  638,00 ",  -   ,  -   ,"  638,00 ",  -   ,"  638,00 ",  -   ,  -   ,"  638,00 ",  -   ,SIN DIFERENCIA
001-001-00026,Tarascaso Aromas,gr,"  589,00 ",  -   ,  -   ,"  589,00 ",  -   ,"  585,00 ",  -   ,  -   ,"  585,00 ","  4,00 ",FALTANTE
001-001-00027,Matcha Latte Mix 1kg,gr,"  6.396,00 ","  11.000,00 ","  15.696,00 ","  1.700,00 ","  2.023,00 ",  -   ,  -   ,  -   ,"  2.023,00 ","  -323,00 ",SOBRANTE
001-001-00028,Matcha Kyoto Bi,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  279,00 ","  279,00 ","  -279,00 ",SOBRANTE
001-001-00029,Matcha Kyoto Rin,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-001-00030,Manzana En Cubo Roberto Baldeon,gr,"  4.467,00 ","  8.000,00 ","  5.916,00 ","  6.551,00 ","  3.335,00 ","  3.000,00 ",  -   ,  -   ,"  6.335,00 ","  216,00 ",FALTANTE
001-001-00031,Saborizante Naranja Tippytea 250 G,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-001-00032,Sunfo Pucara,gr,"  1.000,00 ",  -   ,  -   ,"  1.000,00 ",  -   ,"  1.000,00 ",  -   ,  -   ,"  1.000,00 ",  -   ,SIN DIFERENCIA
001-001-00033,Maquila Koko Sen,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-001-00034,Otros,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-001-00038,Inactivo,uni,"  8,00 ",  -   ,  -   ,"  8,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  8,00 ",FALTANTE
001-001-00039,Saborizante Pina Tropical,gr,"  588,00 ","  1.000,00 ",  -   ,"  1.588,00 ","  589,00 ",  -   ,  -   ,  -   ,"  589,00 ","  999,00 ",FALTANTE
001-001-00040,Saborizante Coco,gr,"  396,00 ",  -   ,  -   ,"  396,00 ","  396,00 ",  -   ,  -   ,  -   ,"  396,00 ",  -   ,SIN DIFERENCIA
001-001-00041,Saborizante Menta Banano,gr,"  334,00 ",  -   ,  -   ,"  334,00 ","  334,00 ",  -   ,  -   ,  -   ,"  334,00 ",  -   ,SIN DIFERENCIA
001-001-00042,Balde Blanco Pp 3.5,uni,"  25,00 ",  -   ,  -   ,"  25,00 ",  -   ,  -   ,"  24,00 ",  -   ,"  24,00 ","  1,00 ",FALTANTE
001-001-00045,Saborizante Nutella En Polvo,gr,"  39,00 ",  -   ,  -   ,"  39,00 ","  36,00 ",  -   ,  -   ,  -   ,"  36,00 ","  3,00 ",FALTANTE
001-001-00046,Saborizante Deulce De Leche En Polvo,gr,"  3,20 ",  -   ,  -   ,"  3,20 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  3,20 ",FALTANTE
